Codigo,Data_Inicio,Data_Fim,Ato_Legal,Numero,Ano,IBS,CBS
2023000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
203,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2031,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2031100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2031200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2031900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2032,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2032100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2032200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2032900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
204,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2041000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2042,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2042100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2042200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2042300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2043000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2044,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2044100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2044200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2044300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2045000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2050000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
206,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2061000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2062,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2062100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2062200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
20629,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2062910,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2062990,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2063000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2064,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2064100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2064900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2068000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2069000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
207,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2071,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2071100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
20712,01/04/2023,31/12/9999,Res Camex,440,2022,0.1,0.17
2071210,01/04/2023,31/12/9999,Res Camex,440,2022,0.1,0.17
2071220,01/04/2023,31/12/9999,Res Camex,440,2022,0.1,0.17
2071300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2071400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2072,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2072400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2072500,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2072600,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2072700,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2074,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2074100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2074200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2074300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2074400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2074500,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2075,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2075100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2075200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2075300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2075400,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2075500,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2076000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
208,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2081000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2083000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2084000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2085000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2086000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2089000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
209,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
20910,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
209101,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2091011,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2091019,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
209102,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2091021,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2091029,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2099000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
210,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2101,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2101100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2101200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2101900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2102000,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2109,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2109100,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2109200,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2109300,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
21099,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
210991,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2109911,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2109919,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2109920,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2109930,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2109940,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
2109990,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
301,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3011,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30111,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3011110,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3011190,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3011900,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30191,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019110,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019190,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30192,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019210,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019290,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30193,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019310,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019390,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30194,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019410,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019490,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30195,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019510,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019590,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
30199,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
301991,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019911,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019912,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019919,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
301999,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019991,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
3019992,01/04/2022,31/12/9999,Res Camex,272,2021,0.1,0.17
